date,aud_to_usd,eur_to_usd,nzd_to_usd,gbp_to_usd,brl_to_usd,cad_to_usd,jpy_to_usd,kro_to_usd,chf_to_usd
2000-01-03,1.5172,0.9847,1.9033,0.6146,1.805,1.4465,101.7,8.443,1.5808
2000-01-04,1.5239,0.97,1.9238,0.6109,1.8405,1.4518,103.09,8.36,1.5565
2000-01-05,1.5267,0.9676,1.9339,0.6092,1.856,1.4518,103.77,8.353,1.5526
2000-01-06,1.5291,0.9686,1.9436,0.607,1.84,1.4571,105.19,8.3675,1.554
2000-01-07,1.5272,0.9714,1.938,0.6104,1.831,1.4505,105.17,8.415,1.5623
2000-01-10,1.5242,0.9754,1.935,0.6107,1.819,1.4568,105.28,8.449,1.5704
2000-01-11,1.5209,0.9688,1.9365,0.6068,1.8225,1.457,106.09,8.397,1.5605
2000-01-12,1.5202,0.9727,1.9286,0.6073,1.835,1.455,105.76,8.418,1.566
2000-01-13,1.4954,0.9737,1.9084,0.6067,1.814,1.4495,106.09,8.417,1.5707
2000-01-14,1.5004,0.9874,1.9186,0.6115,1.805,1.4497,105.86,8.474,1.5945
2000-01-17,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-01-18,1.506,0.988,1.9342,0.6105,1.7942,1.4502,105.49,8.468,1.5942
2000-01-19,1.5074,0.9886,1.9399,0.6083,1.793,1.4527,105.39,8.487,1.5965
2000-01-20,1.5002,0.9869,1.9486,0.6047,1.7785,1.4484,105.45,8.468,1.5915
2000-01-21,1.5103,0.9901,1.9592,0.6059,1.78,1.442,104.96,8.493,1.5973
2000-01-24,1.5281,0.9981,1.9759,0.6053,1.768,1.44,105.52,8.526,1.609
2000-01-25,1.5286,0.9959,1.9732,0.6067,1.78,1.4389,105.87,8.521,1.6085
2000-01-26,1.5373,0.9989,1.9763,0.6099,1.781,1.4379,105.85,8.5285,1.6102
2000-01-27,1.5267,1.0111,1.9716,0.6111,1.78,1.435,104.91,8.615,1.6317
2000-01-28,1.5962,1.0241,2.0534,0.6169,1.79,1.4495,107.15,8.82,1.6485
2000-01-31,1.5669,1.0249,2.019,0.618,1.802,1.4517,107.33,8.815,1.6495
2000-02-01,1.5835,1.0276,2.0392,0.6192,1.795,1.4468,107.67,8.768,1.654
2000-02-02,1.5723,1.0238,2.0416,0.6227,1.785,1.4435,108.4,8.708,1.6502
2000-02-03,1.5657,1.0114,2.0133,0.624,1.775,1.4417,107.92,8.577,1.6255
2000-02-04,1.5835,1.0246,2.0284,0.6283,1.773,1.4467,107.54,8.663,1.647
2000-02-07,1.5775,1.0222,2.0259,0.6283,1.77,1.4457,108.75,8.66,1.6426
2000-02-08,1.5741,1.014,2.0243,0.6209,1.765,1.4473,109.59,8.595,1.6301
2000-02-09,1.576,1.1987,2.0325,0.6205,1.77,1.4443,109.11,8.544,1.6232
2000-02-10,1.5823,1.0137,2.0263,0.6228,1.77,1.45,108.74,8.585,1.628
2000-02-11,1.5918,1.0155,2.0346,0.628,1.767,1.4515,108.99,8.608,1.6305
2000-02-14,1.5926,1.0222,2.0542,0.6293,1.769,1.4547,108.65,8.679,1.6435
2000-02-15,1.5873,1.0169,2.0534,0.627,1.783,1.4585,108.75,8.68,1.633
2000-02-16,1.587,1.0161,2.0412,0.6234,1.775,1.452,109.38,8.6695,1.6302
2000-02-17,1.5823,1.0139,2.0255,0.6231,1.777,1.4522,110.27,8.68,1.6274
2000-02-18,1.5893,1.0152,2.0371,0.6256,1.777,1.4512,110.88,8.6725,1.6282
2000-02-21,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-02-22,1.5982,0.994,2.0338,0.6186,1.785,1.4595,111.04,8.5395,1.5983
2000-02-23,1.6139,0.9983,2.0597,0.6232,1.79,1.4651,111.11,8.577,1.6082
2000-02-24,1.6276,1.1969,2.0547,0.6257,1.782,1.4587,110.95,8.619,1.62
2000-02-25,1.6194,1.0243,2.0483,0.6286,1.774,1.4505,110.98,8.695,1.6475
2000-02-28,1.6351,1.0342,2.0636,0.6275,1.779,1.4538,109.17,8.6895,1.6615
2000-02-29,1.6247,1.037,2.0555,0.6337,1.769,1.4505,109.88,8.75,1.6665
2000-03-01,1.6483,1.0309,2.0606,0.631,1.769,1.447,107.1,8.6865,1.6568
2000-03-02,1.6455,1.0396,02.05,0.6343,1.759,1.4543,107.37,8.805,1.6714
2000-03-03,1.6442,1.0397,02.05,0.6325,1.744,1.451,107.8,8.815,1.6712
2000-03-06,1.6622,1.0413,2.079,0.6356,1.747,1.4555,107.74,8.7865,1.675
2000-03-07,1.657,1.046,2.0678,0.634,1.747,1.4527,106.2,8.804,1.681
2000-03-08,1.641,1.0443,2.0513,0.6307,1.754,1.4592,106.89,8.851,1.677
2000-03-09,1.6247,1.0326,2.0338,0.6323,1.735,1.457,106.45,8.7235,1.6595
2000-03-10,1.6297,1.0353,2.0202,0.6332,1.738,1.4575,106.27,8.72,1.6661
2000-03-13,1.6221,1.0365,2.0272,0.6336,1.749,1.4614,105.32,8.718,1.6702
2000-03-14,1.6287,1.0369,2.0392,0.6359,1.738,1.4632,104.85,8.697,1.6715
2000-03-15,1.6327,1.0314,2.0471,0.6357,1.7402,1.468,105.58,8.6915,1.6618
2000-03-16,1.6375,1.0299,02.05,0.635,1.736,1.4724,105.63,8.694,1.6593
2000-03-17,1.6483,1.0316,2.064,0.6367,1.737,1.4728,106.1,8.666,1.662
2000-03-20,1.6488,1.0299,2.0683,0.6375,1.74,1.4703,106.5,8.6425,1.6605
2000-03-21,1.6393,1.0306,2.0396,0.6359,1.7395,1.4662,106.91,8.65,1.6615
2000-03-22,1.6513,1.0408,2.0509,0.6367,1.729,1.472,106.77,8.711,1.675
2000-03-23,1.6554,1.0319,2.0513,0.6317,1.723,1.4727,107.45,8.645,1.6522
2000-03-24,1.6491,1.0284,2.0479,0.6285,1.73,1.465,107.25,8.5775,1.6333
2000-03-27,1.6356,1.0368,2.0276,0.6307,1.736,1.4605,107.13,8.6465,1.6468
2000-03-28,1.6284,1.0401,1.99,0.63,1.749,1.4541,105.9,8.5675,1.6551
2000-03-29,1.6329,01.05,1.994,0.6301,1.74,1.4555,105.6,8.6675,1.6725
2000-03-30,1.6327,1.0423,2.004,0.6281,1.753,1.4557,105.53,8.633,1.6605
2000-03-31,1.6496,1.0445,2.0161,0.6281,1.742,1.4538,102.73,8.635,1.663
2000-04-03,1.6466,1.046,2.2008,0.6258,1.742,1.4548,104.82,8.678,1.6587
2000-04-04,1.6578,1.043,1.9972,0.6264,1.745,1.4531,105.33,8.691,1.65
2000-04-05,1.6521,1.0366,1.9869,0.6289,1.755,1.4548,105,8.6225,1.633
2000-04-06,1.6622,1.0438,1.996,0.6329,1.745,1.4515,104.78,8.661,1.639
2000-04-07,1.6658,1.0428,1.9988,0.6317,1.746,1.4574,105.33,8.642,1.6383
2000-04-10,1.6692,1.043,2.006,0.6318,1.738,1.4615,106.37,8.61,1.6435
2000-04-11,1.6787,1.0426,2.1964,0.63,1.7475,1.4635,106.95,8.634,1.6415
2000-04-12,1.675,1.047,2.0101,0.6296,1.748,1.4623,105.86,8.702,1.649
2000-04-13,1.677,01.05,2.1988,0.6297,1.764,1.4661,105.76,8.723,1.652
2000-04-14,1.6745,1.0456,2.1996,0.6305,1.786,1.4767,105.12,8.7,1.6408
2000-04-17,1.6912,1.0471,2.0222,0.6308,1.789,1.4855,104.19,8.72,1.644
2000-04-18,1.6818,1.0552,2.019,0.6344,1.766,1.4837,104.59,8.744,1.6603
2000-04-19,1.6787,1.0673,2.006,0.6338,1.766,1.4761,104.94,8.798,1.6755
2000-04-20,1.6861,1.0666,2.0202,0.6329,1.781,1.4725,105.45,8.8,1.6772
2000-04-21,1.6878,1.0662,2.0263,0.6335,1.779,1.475,105.88,8.786,1.676
2000-04-24,1.6821,1.0643,2.0218,0.6329,1.79,1.4763,105.66,8.78,1.6712
2000-04-25,1.679,1.0793,2.0182,0.6334,1.79,1.4699,105.71,8.848,1.6985
2000-04-26,1.6978,1.085,2.0555,0.6331,1.799,1.4758,106.46,8.885,1.7085
2000-04-27,1.7021,1.101,2.0585,0.635,1.811,1.4792,106.36,8.9808,1.731
2000-04-28,1.7132,1.1002,2.0597,0.6427,1.805,1.4818,107.98,8.967,1.725
2000-05-01,1.7241,1.0965,2.0683,0.6428,1.807,1.4783,108.89,8.9183,1.7135
2000-05-02,1.7074,1.1028,2.058,0.6414,1.8,1.4857,108.63,8.941,1.7185
2000-05-03,1.6949,1.1247,2.045,0.6408,1.816,1.4923,109.14,9.077,1.7369
2000-05-04,1.6909,1.1227,2.0375,0.6479,1.814,1.498,108.17,9.104,1.7353
2000-05-05,1.6849,1.1169,2.0437,0.6541,1.8125,1.498,108.53,9.103,1.7323
2000-05-08,1.7036,1.1173,2.0631,0.6532,1.805,1.4927,109.03,9.095,1.7305
2000-05-09,1.7159,1.1083,2.0877,0.653,1.8075,1.4945,109.61,9.0592,1.7219
2000-05-10,1.7197,1.0993,2.0942,0.6599,1.818,1.4955,109.33,9.0575,1.715
2000-05-11,1.7271,1.1085,2.0934,0.6668,1.82,1.49,108.47,9.16,1.7252
2000-05-12,1.7212,1.1013,2.0855,0.6591,1.83,1.4872,108.74,9.092,1.709
2000-05-15,1.7425,1.0943,2.1093,0.6633,1.845,1.4897,109.48,9.063,1.7033
2000-05-16,1.7322,1.1046,2.1142,0.6663,1.823,1.4862,109.75,9.103,1.7152
2000-05-17,1.759,1.121,2.1692,0.6709,1.833,1.4992,109.53,9.201,1.7398
2000-05-18,1.7535,1.1171,2.209,0.6749,1.831,1.5007,108.7,9.1323,1.7377
2000-05-19,1.7458,1.1178,2.1906,0.6732,1.843,1.4963,106.89,9.1575,1.7347
2000-05-22,1.7422,1.1067,2.1772,0.6708,1.854,1.4983,107.02,9.222,1.7185
2000-05-23,1.74,1.1072,2.1801,0.679,1.852,1.5036,106.72,9.21,1.7295
2000-05-24,1.7504,1.0994,2.2026,0.6777,1.853,1.5085,107.58,9.175,1.7208
2000-05-25,1.7544,1.1023,2.1901,0.68,1.846,1.5057,107.48,9.165,1.721
2000-05-26,1.7495,1.0741,2.181,0.6723,1.841,1.5045,107.18,09.01,1.6828
2000-05-29,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-05-30,1.7337,1.0737,2.1734,0.6689,1.8325,1.5036,106.44,9.002,1.6885
2000-05-31,1.7519,1.072,2.1872,0.6681,1.827,1.4977,107.74,8.987,1.6883
2000-06-01,1.7479,1.0745,2.1925,0.6705,1.821,1.491,108.74,8.968,1.6878
2000-06-02,1.7271,1.0602,2.1441,0.6632,1.807,1.4785,108.15,8.8245,1.668
2000-06-05,1.7206,1.0559,2.139,0.6607,1.794,1.4779,107.44,8.805,1.663
2000-06-06,1.6987,1.0449,2.1106,0.6564,1.793,1.478,105.64,8.711,1.643
2000-06-07,1.6949,1.0417,2.1186,0.6568,1.804,1.4785,105.5,8.656,1.6365
2000-06-08,1.7013,1.0473,2.1345,0.664,1.799,1.48,105.86,8.758,1.641
2000-06-09,1.7053,1.0498,2.1368,0.6632,1.8025,1.4765,106.78,8.745,1.6443
2000-06-12,1.6915,1.0478,2.1245,0.6614,1.805,1.4765,106.65,8.691,1.6356
2000-06-13,1.6742,1.0396,2.1186,0.6609,1.812,1.4697,106.79,8.612,1.6255
2000-06-14,1.6647,1.0428,2.1022,0.6656,1.8125,1.4695,106.89,8.533,1.6318
2000-06-15,1.6625,1.0493,2.1322,0.6621,1.812,1.4758,106.52,8.625,1.6386
2000-06-16,1.6439,1.0365,2.0899,0.6594,1.808,1.4708,106.22,8.6015,1.6178
2000-06-19,1.66,1.0393,2.1142,0.6599,1.805,1.4657,105.74,8.62,1.623
2000-06-20,1.6565,1.0464,2.1048,0.6623,1.8,1.4708,105.42,8.6425,1.628
2000-06-21,1.6595,1.0576,2.1044,0.668,1.815,1.4729,105.5,8.719,1.639
2000-06-22,1.6686,1.0641,2.1151,0.6618,1.813,1.4725,104.4,8.805,1.6455
2000-06-23,1.6767,1.0686,2.1209,0.6662,1.822,1.4793,104.59,8.85,1.6565
2000-06-26,1.6764,1.0659,2.1299,0.6671,1.828,1.483,105.66,8.891,1.651
2000-06-27,1.6633,1.0589,2.1186,0.6667,1.823,1.4825,105.53,8.8725,1.6379
2000-06-28,1.6603,1.0589,2.1505,0.6619,1.82,1.4838,105.51,8.864,1.642
2000-06-29,1.6586,1.051,2.1313,0.6582,1.817,1.482,105.09,8.822,1.6375
2000-06-30,1.6748,1.0477,2.1322,0.6609,1.804,1.4798,106.14,8.821,1.6317
2000-07-03,1.6678,1.0498,2.139,0.6607,1.809,1.4793,105.64,8.7925,1.6323
2000-07-04,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-07-05,1.6929,1.0473,2.1701,0.6614,1.805,1.4909,106.91,8.83,1.622
2000-07-06,1.6923,1.0496,2.1716,0.6614,1.798,1.485,107.37,8.866,1.625
2000-07-07,1.6946,1.0544,2.1716,0.6604,1.799,1.481,107.81,8.915,1.6278
2000-07-10,1.6915,1.0503,2.1687,0.6606,1.8,1.4798,107.1,8.8855,1.6275
2000-07-11,1.6975,1.053,2.1753,0.6605,1.799,1.4785,106.93,8.8906,1.6335
2000-07-12,1.6978,1.0637,2.1763,0.6637,1.805,1.4815,108.36,8.8925,1.651
2000-07-13,1.7079,1.0708,2.1753,0.6671,1.809,1.4809,108.27,8.941,1.6608
2000-07-14,1.7103,1.0668,2.1683,0.6671,1.812,1.4845,107.88,8.898,1.6532
2000-07-17,1.7079,1.0694,2.1839,0.6702,1.8,1.4813,108.53,8.968,1.6575
2000-07-18,1.7112,1.0727,2.1853,0.6691,1.798,1.4783,108.3,9,1.6608
2000-07-19,1.7391,1.0826,2.2026,0.6693,1.807,1.4758,108.2,9.081,1.6781
2000-07-20,1.7194,1.0762,2.1697,0.6625,1.8015,1.4748,107.89,09.02,1.668
2000-07-21,1.705,1.0703,2.1598,0.6593,1.794,1.4715,109.08,8.9965,1.6638
2000-07-24,1.7065,1.0737,2.1753,0.6605,1.797,1.4639,108.92,8.9825,1.67
2000-07-25,1.7097,1.0648,2.1753,0.6583,1.79,1.4653,109.3,8.944,1.6528
2000-07-26,1.6938,1.0624,2.1706,0.6599,1.793,1.4665,109.28,8.946,1.6493
2000-07-27,1.6975,1.0717,2.1815,0.6616,1.7845,1.4713,109.15,9.0985,1.6605
2000-07-28,1.703,1.0815,2.1867,0.6656,1.786,1.4776,109.63,9.16,1.6753
2000-07-31,1.728,1.0792,2.2026,0.6674,1.776,1.488,109.68,9.172,1.6689
2000-08-01,1.7227,1.0837,2.1997,0.667,1.786,1.4892,109.47,9.217,1.6758
2000-08-02,1.7153,1.0945,2.2017,0.67,1.792,1.4813,108.77,9.259,1.6887
2000-08-03,1.7112,1.106,2.1988,0.669,1.802,1.4844,108.36,9.335,1.7087
2000-08-04,1.7147,1.1019,2.2002,0.6657,1.793,1.4889,108.54,9.246,1.7053
2000-08-07,1.7059,1.0983,2.2017,0.6636,1.796,1.4875,108.99,9.1825,1.7005
2000-08-08,1.7042,1.1088,2.2036,0.6657,1.8,1.4889,108.64,9.2445,1.7147
2000-08-09,1.7283,1.1122,2.2168,0.667,1.7965,1.4848,107.99,9.25,1.7187
2000-08-10,1.7188,1.1017,2.2134,0.6676,1.798,1.4826,108.7,9.201,1.7065
2000-08-11,1.7256,1.1055,2.2292,0.6649,1.796,1.4839,108.68,9.218,1.7181
2000-08-14,1.7212,1.1066,2.2188,0.664,1.804,1.4847,109.52,9.205,1.7214
2000-08-15,1.715,1.0947,2.2306,0.6642,1.805,1.487,109,9.153,1.7095
2000-08-16,1.6958,1.0937,2.2173,0.6672,1.808,1.4774,108.55,9.204,1.7093
2000-08-17,1.6849,1.0927,2.2075,0.667,1.809,1.4759,108.48,9.205,1.7085
2000-08-18,1.6935,1.1028,2.2232,0.6714,1.817,1.4747,108.43,9.263,1.7235
2000-08-21,1.6978,1.1078,2.2222,0.6711,1.821,1.4765,108.53,9.292,1.7275
2000-08-22,1.7235,1.1154,2.2548,0.6758,1.818,1.4756,108.34,9.335,1.7405
2000-08-23,1.7519,1.1152,2.3348,0.6751,1.818,1.4877,107.02,9.332,1.7282
2000-08-24,1.7467,1.1077,2.3052,0.6754,1.822,1.4871,106.89,9.279,1.7117
2000-08-25,1.7431,1.1082,2.2952,0.6782,1.823,1.4828,107.17,9.311,1.7095
2000-08-28,1.7498,1.1109,2.3041,0.6795,1.829,1.4845,106.45,9.345,1.713
2000-08-29,1.7504,1.1153,2.3283,0.6842,1.832,1.4868,106.2,9.411,1.7238
2000-08-30,1.7483,1.1206,2.3436,0.6868,1.8241,1.4805,106.47,9.44,1.736
2000-08-31,1.7349,1.1264,2.343,0.6889,1.82,1.472,106.66,9.445,1.7425
2000-09-01,1.7346,1.112,2.3348,0.6847,1.824,1.4742,105.78,9.338,1.723
2000-09-04,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-09-05,1.7547,1.1266,2.3463,0.6886,1.8278,1.4752,105.88,9.4725,1.7488
2000-09-06,1.7683,1.1492,2.3529,0.6918,1.821,1.4843,106.08,9.6575,1.778
2000-09-07,1.7924,1.1442,2.3969,0.6954,1.8221,1.4777,105.1,9.56,1.772
2000-09-08,1.7995,1.1542,2.3889,0.7044,1.822,1.4781,106.03,9.6515,1.7869
2000-09-11,1.7889,1.1596,2.331,0.7081,1.8187,1.48,105.97,9.731,1.7715
2000-09-12,1.7902,1.1633,2.3463,0.7133,1.827,1.4825,106.93,9.766,1.771
2000-09-13,1.8018,1.1574,2.3697,0.708,1.835,1.4838,107.11,9.722,1.7635
2000-09-14,1.8215,1.1605,2.3635,0.7112,1.833,1.4869,107.25,9.755,1.7736
2000-09-15,1.8349,1.1666,2.3923,0.714,1.8445,1.4844,107.33,9.796,1.7805
2000-09-18,1.846,1.1733,2.4319,0.7135,1.859,1.4905,106.87,9.829,1.787
2000-09-19,1.845,1.1745,2.4213,0.7102,1.855,1.488,107.02,9.8475,1.7765
2000-09-20,1.8615,1.1818,2.471,0.7089,1.857,1.4833,106.77,9.875,1.7845
2000-09-21,1.8423,1.1685,2.4631,0.7003,1.854,1.4873,106.5,9.815,1.7715
2000-09-22,1.8332,1.1373,2.4301,0.6864,1.8575,1.4892,107.94,9.625,1.7295
2000-09-25,1.8215,1.1444,2.4325,0.6878,1.844,1.489,107.63,9.666,1.739
2000-09-26,1.8162,1.1344,2.4143,0.6849,1.8517,1.488,107.63,9.623,1.7279
2000-09-27,1.8149,1.1357,2.4114,0.6846,1.849,1.4962,107.44,9.659,1.7325
2000-09-28,1.8215,1.133,2.4155,0.6833,1.8482,1.503,107.59,9.6885,1.7288
2000-09-29,1.8467,1.1316,2.454,0.6763,1.844,1.507,107.9,9.628,1.7265
2000-10-02,1.8349,1.1356,2.4783,0.6814,1.847,1.5108,108.81,9.6933,1.7322
2000-10-03,1.8519,1.144,2.471,0.6866,1.848,1.506,108.66,9.78,1.7365
2000-10-04,1.8639,1.146,2.4814,0.6869,1.852,1.499,109.29,9.8,1.7395
2000-10-05,1.8692,1.1514,2.4938,0.6896,1.852,1.4954,109.3,9.8292,1.7491
2000-10-06,1.873,1.1521,2.4876,0.6923,1.855,1.5013,108.81,9.84,1.7515
2000-10-09,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-10-10,1.873,1.1518,2.4802,0.6904,1.855,1.5014,107.9,9.919,1.7515
2000-10-11,1.8657,1.1474,2.4624,0.684,1.86,1.5043,107.63,9.865,1.7328
2000-10-12,1.8797,1.1569,2.5138,0.6787,1.862,1.5085,107.58,9.905,1.7415
2000-10-13,1.8879,1.1671,2.5113,0.6851,1.877,1.5135,107.67,9.935,1.7595
2000-10-16,1.912,1.178,2.5316,0.6918,1.871,1.5195,108.3,10.013,1.779
2000-10-17,1.9275,1.1755,2.54,0.6932,1.8735,1.5184,108.15,10.007,1.7773
2000-10-18,1.9279,1.1918,2.551,0.6914,1.876,1.52,107.78,10.115,1.7875
2000-10-19,1.9194,1.1896,2.5349,0.6934,1.875,1.5112,108.55,10.065,1.7875
2000-10-20,1.8939,1.1905,2.495,0.6921,1.882,1.5119,109.04,10.12,1.7885
2000-10-23,1.8961,1.1956,2.4907,0.6873,1.893,1.508,108.45,10.113,1.7985
2000-10-24,1.9026,1.1956,2.4832,0.6901,1.901,1.5118,108.08,10.128,1.8005
2000-10-25,1.9264,1.2092,2.5013,0.6976,1.925,1.5164,108.05,10.245,1.8165
2000-10-26,1.9286,1.209,2.5,0.6987,1.946,1.5187,108.36,10.3,1.825
2000-10-27,1.9109,1.1896,2.4845,0.6888,1.931,1.5275,108.75,10.1238,1.8065
2000-10-30,1.9102,1.186,2.4783,0.6882,1.9185,1.5311,108.99,10.06,1.8068
2000-10-31,1.9301,1.1784,2.524,0.6894,1.908,1.5273,109.15,9.997,1.7978
2000-11-01,1.9131,1.165,2.5284,0.6919,1.909,1.5263,108.48,9.892,1.7765
2000-11-02,1.9201,1.1636,2.5368,0.6925,1.919,1.5333,108.39,9.912,1.7799
2000-11-03,1.9051,1.1609,2.5253,0.6904,1.937,1.5348,107.58,9.915,1.7667
2000-11-06,1.8939,1.165,2.5044,0.6983,1.941,1.5305,107.34,9.998,1.7725
2000-11-07,1.8939,1.1651,2.5094,0.6988,1.9545,1.5315,107.3,10.001,1.7728
2000-11-08,1.8997,1.1684,2.5157,0.7024,1.955,1.5432,107.57,10,1.7775
2000-11-09,1.904,1.1663,2.5031,0.7021,1.963,1.5455,107.41,10.022,1.7739
2000-11-10,1.9157,1.1594,2.5189,0.6991,1.951,1.546,107.83,9.9685,1.7657
2000-11-13,1.9212,1.1618,2.5265,0.695,1.959,1.5472,107.7,10.048,1.7637
2000-11-14,1.9268,1.1665,2.5265,0.699,1.945,1.5445,108.15,10.1048,1.7723
2000-11-15,1.922,1.1669,2.5094,0.7014,1.949,1.551,108.75,10.094,1.7815
2000-11-16,1.9294,1.1721,2.5189,0.7028,1.9475,1.5523,109.08,10.14,1.7883
2000-11-17,1.9268,1.1743,2.4969,0.7027,1.968,1.56,108.86,10.17,1.7915
2000-11-20,1.9478,1.1784,2.5176,0.7031,1.929,1.5592,109.79,10.2136,1.8
2000-11-21,1.9562,1.1823,2.5432,0.7062,1.926,1.5553,110.29,10.301,1.7995
2000-11-22,1.9253,1.1872,2.5044,0.7104,1.929,1.5473,110.16,10.302,1.805
2000-11-23,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-11-24,1.9175,1.193,2.5044,0.7144,1.959,1.5396,111.38,10.36,1.8085
2000-11-27,1.9008,1.1765,2.4631,0.7065,1.9625,1.5348,110.7,10.2425,1.7803
2000-11-28,1.9146,1.17,2.4649,0.7051,1.98,1.5371,110.23,10.1694,1.7633
2000-11-29,1.9128,1.1659,2.474,0.7038,1.958,1.5405,111.28,10.133,1.7595
2000-11-30,1.9004,1.1502,2.4438,0.7037,1.9722,1.5355,110.93,10.04,1.7365
2000-12-01,1.8615,1.1409,2.4096,0.6957,1.981,1.5389,111.15,9.9,1.7285
2000-12-04,1.8413,1.1268,2.3719,0.6886,1.984,1.5458,111.07,9.725,1.706
2000-12-05,1.8501,1.1358,2.3759,0.694,1.96,1.5438,111,9.742,1.7153
2000-12-06,1.8355,1.1265,2.3529,0.6961,1.967,1.5323,110.42,9.63,1.7078
2000-12-07,1.8282,1.1247,2.3408,0.6944,1.974,1.5223,110.7,9.713,1.7015
2000-12-08,1.8365,1.1315,2.3397,0.6924,1.969,1.5205,111.29,9.735,1.7063
2000-12-11,1.8519,1.1401,2.3657,0.6871,1.962,1.5227,110.77,9.7205,1.715
2000-12-12,1.845,1.1396,2.373,0.6906,1.968,1.5249,111.5,9.7195,1.7144
2000-12-13,1.8587,1.1422,2.3781,0.6892,1.965,1.5205,112.4,9.792,1.7175
2000-12-14,1.8529,1.1289,2.3747,0.6819,1.965,1.5165,112.42,9.68,1.699
2000-12-15,1.8322,1.1135,2.337,0.6774,1.965,1.5174,112.55,9.6,1.6795
2000-12-18,1.8464,1.1199,2.3202,0.6813,1.953,1.5254,112.06,9.68,1.6845
2000-12-19,1.8399,1.1233,2.3299,0.684,1.955,1.522,112.55,9.781,1.694
2000-12-20,1.8212,1.104,2.2957,0.6786,1.958,1.5215,112.58,9.59,1.6765
2000-12-21,1.8073,1.0975,2.281,0.6799,1.953,1.5185,112.18,9.587,1.6722
2000-12-22,1.8018,1.0834,2.2701,0.6765,1.958,1.5168,112.75,9.539,1.6485
2000-12-25,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-12-26,1.7895,1.0762,2.2624,0.6757,1.961,1.5099,113.62,9.502,1.6342
2000-12-27,1.7889,1.0748,2.2548,0.6706,1.96,1.511,114.2,9.5725,1.6435
2000-12-28,1.8109,1.0803,2.2738,0.6708,1.955,1.5073,114.62,9.555,1.645
2000-12-29,1.7986,1.0652,2.2609,0.6687,1.951,1.4995,114.35,9.444,1.6202
2001-01-01,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001-01-02,1.7883,1.0565,2.2563,0.6677,1.938,1.4963,114.73,9.415,1.6075
2001-01-03,1.7746,1.0556,2.2406,0.6647,1.946,1.4982,114.26,9.445,1.6025
2001-01-04,1.7683,1.0584,2.2437,0.6698,1.938,1.4985,115.47,9.422,1.6115
2001-01-05,1.7507,1.0488,2.2134,0.6671,1.953,1.5003,116.19,9.338,1.6025
2001-01-08,1.7668,1.0542,2.2198,0.668,1.954,1.4944,115.97,9.418,1.6076
2001-01-09,1.7768,1.0642,2.2346,0.6711,1.941,1.4973,116.64,9.498,1.621
2001-01-10,1.7947,1.0653,2.2487,0.6707,1.941,1.4993,116.26,9.4325,1.6255
2001-01-11,1.7873,1.0504,2.2247,0.6682,1.949,1.4978,117.56,9.325,1.6123
2001-01-12,1.7995,1.0542,2.2462,0.6767,1.949,1.4967,117.76,9.344,1.6232
2001-01-15,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001-01-16,1.8021,1.0668,2.2472,0.6814,1.954,1.5037,117.28,9.505,1.639
2001-01-17,1.8136,1.0746,2.2523,0.6792,1.954,1.5123,118.35,9.565,1.652
2001-01-18,1.7979,1.0586,2.2361,0.6777,1.953,1.5162,117.78,9.43,1.6195
2001-01-19,1.7953,1.068,2.2311,0.6811,1.96,1.5155,117.23,9.463,1.6334
2001-01-22,1.8038,1.0668,2.2386,0.6826,1.958,1.5072,116.62,9.518,1.637
2001-01-23,1.809,1.0651,2.2442,0.6796,1.959,1.5073,116.95,9.532,1.633
2001-01-24,1.8352,1.0801,2.2769,0.6842,1.962,1.5126,118.18,9.622,1.6547
2001-01-25,1.8345,1.0847,2.3015,0.6847,1.974,1.508,116.91,9.69,1.6558
2001-01-26,1.8409,1.0854,2.2967,0.6854,1.977,1.5066,117.16,9.631,1.6582
2001-01-29,1.8409,1.0892,2.3041,0.6863,1.977,1.501,116.67,9.6442,1.656
2001-01-30,1.8268,1.0794,2.2676,0.6842,1.9695,1.4985,115.75,9.551,1.6455
2001-01-31,1.8248,1.0743,2.2599,0.6843,1.972,1.4995,116.39,9.5227,1.6425
2001-02-01,1.8051,1.0656,2.2336,0.6768,1.9825,1.4948,115.33,9.489,1.633
2001-02-02,1.8113,1.0687,2.2472,0.6806,1.994,1.4933,115.65,9.5125,1.6425
2001-02-05,1.8155,1.0644,2.2614,0.678,1.996,1.505,114.99,9.51,1.6355
2001-02-06,1.8215,1.0748,2.2568,0.6856,1.997,1.508,114.88,9.567,1.6538
2001-02-07,1.8308,1.0717,2.2543,0.6834,2.006,1.511,116.21,9.5375,1.6475
2001-02-08,1.8653,1.0889,2.3036,0.6925,1.992,1.5117,116.3,9.672,1.6707
2001-02-09,1.8632,1.0791,2.2805,0.6901,1.986,1.509,117.57,9.6325,1.656
